Elements,Test1,Test2,Test3,Test4,Test5,Test6,Test7,Test8,Test9,Test10,Test11,Test12,Test13,Test14,Test15,Test16,Test17,Test18,Test19,Test20,Test21,Test22,Test23,Test24,Test25,Test26,Test27,Test28,Test29,Test30
1000,869000,597000,588000,990000,602000,477000,707000,762000,180000,380000,188000,812000,712000,155000,951000,236000,376000,687000,960000,919000,308000,1000,97000,812000,941000,238000,734000,510000,260000,353000
2000,1190000,262000,3170000,570000,998000,126000,1282000,426000,2014000,2096000,3106000,2648000,968000,972000,366000,1282000,752000,3124000,780000,2534000,2506000,2392000,1072000,2312000,686000,982000,2726000,144000,2680000,1852000
3000,6741000,5523000,6231000,3912000,8406000,840000,8448000,8706000,5253000,1902000,4266000,5850000,8913000,7074000,3324000,1671000,6723000,8370000,90000,6744000,2334000,8586000,7731000,8598000,4902000,8007000,3393000,7527000,3282000,7833000
4000,13580000,11988000,9368000,440000,8900000,6016000,2232000,15408000,3560000,4576000,7392000,10364000,11484000,1372000,4968000,5644000,11836000,10628000,6776000,4860000,276000,1944000,440000,13740000,14256000,9712000,1308000,2816000,15680000,9244000
5000,1870000,1615000,19450000,10535000,15510000,5190000,3525000,17245000,20530000,23745000,21770000,13930000,23050000,5275000,2780000,11110000,16410000,2030000,1570000,15955000,18145000,7870000,14415000,4550000,14160000,3010000,2850000,7970000,3450000,4750000
6000,13476000,24720000,29412000,32862000,3666000,21180000,8448000,948000,9624000,9216000,16026000,33336000,28938000,1656000,9888000,12030000,3780000,31794000,4860000,30006000,684000,29922000,21054000,7674000,28374000,8040000,25410000,30180000,8670000,26166000
7000,20986000,9758000,15092000,7630000,11585000,7595000,32368000,1078000,21525000,9163000,6608000,1309000,5005000,47306000,21665000,3752000,5530000,29246000,47145000,33068000,7203000,32305000,24241000,24745000,4018000,11536000,22603000,31773000,35945000,8771000
8000,16448000,3512000,6216000,13632000,35456000,31176000,21792000,33136000,35744000,28008000,27160000,11696000,50304000,36248000,19824000,56472000,48232000,18712000,38224000,16808000,56680000,4904000,5656000,39856000,29160000,62256000,32368000,2416000,7184000,9128000
9000,1782000,4941000,7902000,40140000,42165000,46530000,31923000,67995000,50661000,61416000,783000,12969000,5013000,61191000,28512000,74655000,61344000,18792000,14166000,42552000,7524000,77922000,24282000,55755000,3069000,26991000,30339000,45900000,10755000,48807000
10000,38320000,10130000,6490000,4710000,16010000,18560000,40750000,3680000,8790000,77530000,2530000,5360000,3960000,24350000,60900000,32670000,44150000,93300000,97790000,3860000,54900000,43820000,76320000,89160000,59410000,42570000,43110000,83980000,17830000,94460000
11000,8679000,31834000,20768000,2497000,154000,88715000,91575000,12265000,45089000,71060000,104082000,33330000,107822000,115808000,583000,74844000,27027000,43472000,23419000,100045000,74074000,24860000,21252000,3421000,73733000,19536000,27159000,71786000,9691000,88858000
12000,63684000,5592000,74064000,23808000,89772000,15900000,65820000,25464000,103716000,60204000,88200000,80292000,23976000,71088000,26892000,30432000,23040000,56436000,6828000,3660000,42300000,48720000,53916000,27528000,23076000,13452000,6720000,55644000,14844000,18852000
13000,115596000,50661000,162721000,140179000,65026000,152308000,64454000,86749000,12246000,26234000,25961000,52143000,46852000,160992000,40313000,103480000,39052000,9386000,9139000,36751000,14716000,74542000,11648000,14677000,32240000,5343000,77753000,16952000,1508000,26260000
14000,31528000,38962000,142604000,81354000,3472000,24598000,148092000,45360000,64806000,11186000,6958000,143500000,102438000,4228000,65436000,77336000,174818000,70756000,190134000,30100000,52682000,168826000,3038000,34972000,177800000,20258000,106638000,85050000,144956000,135324000
15000,4980000,159150000,109245000,181860000,33495000,37020000,73980000,43620000,64350000,110970000,77760000,117690000,63750000,136380000,65295000,7035000,131565000,101790000,141945000,58095000,105360000,28080000,143175000,2850000,188220000,77100000,127380000,77655000,1350000,160545000
16000,51888000,49648000,176496000,29904000,92768000,164176000,68512000,179712000,39856000,88624000,13472000,128704000,39392000,55904000,176608000,129504000,76944000,236224000,75248000,89584000,72544000,213552000,89024000,173632000,144544000,143104000,121280000,56688000,169472000,55280000
17000,106794000,14178000,57528000,101966000,90984000,115430000,193749000,35190000,30073000,247554000,215475000,850000,9928000,129302000,1122000,56440000,8534000,21828000,196486000,89556000,75905000,206771000,136952000,215101000,71961000,238714000,241485000,87992000,158797000,116042000
18000,186264000,179784000,125874000,26694000,80532000,302760000,67896000,37080000,256518000,45648000,113184000,30582000,34020000,110142000,179856000,104022000,157806000,113220000,268092000,62766000,39024000,194310000,24102000,96912000,37440000,123462000,48258000,297810000,158796000,109134000
19000,17062000,16283000,8018000,239780000,19209000,217113000,92473000,345895000,280326000,96026000,184509000,229691000,254790000,202141000,210254000,63536000,203129000,196365000,163704000,148865000,6384000,323741000,200602000,255379000,75449000,31521000,71915000,79097000,280820000,163267000
20000,283860000,88560000,223960000,113540000,71420000,126920000,14020000,13360000,6580000,58500000,363700000,228620000,124340000,172820000,252280000,32280000,327500000,54400000,185640000,352240000,14780000,256860000,106360000,79820000,249120000,34920000,112340000,210220000,132560000,70400000
